,ptl/train_loss,ptl/train_accuracy,ptl/val_loss,ptl/val_accuracy,ptl/model_params,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/layer_1_size,config/layer_2_size,config/layer_3_size,config/dropout,config/batch_size,config/learning_rate,logdir
0,1.751876711845398,0.2666666805744171,1.639966368675232,0.3151662051677704,31690.001953125,3,576,1735399542,checkpoint_000003,True,False,4,68c6c1f2,2024-12-28_15-25-42,1.5634222030639648,13.075775146484375,3264307,gxp-l4-0,128.232.119.192,13.075775146484375,4,32,32,128,0.21483070850372316,128,0.061994252735376364,68c6c1f2
1,1.2408841848373413,0.5666666626930237,1.1052956581115723,0.5911780595779419,18458.0,3,1148,1735399567,checkpoint_000003,True,False,4,a751e628,2024-12-28_15-26-07,2.474790096282959,17.057217359542847,3272125,gxp-l4-0,128.232.119.192,17.057217359542847,4,16,64,64,0.1877363907173276,64,0.025097970801778138,a751e628
2,1.2705817222595215,0.5666666626930237,1.2451022863388062,0.5421168208122253,18618.0,0,287,1735399587,checkpoint_000000,True,True,1,f33b72a1,2024-12-28_15-26-27,11.05111813545227,11.05111813545227,3279655,gxp-l4-0,128.232.119.192,11.05111813545227,1,16,32,128,0.29825106672942636,64,0.017414497930463402,f33b72a1
3,2.295297861099243,0.10000000149011612,2.300722599029541,0.1318824589252472,32042.0,0,144,1735399605,checkpoint_000000,True,True,1,08ac50f3,2024-12-28_15-26-45,10.82765531539917,10.82765531539917,3283145,gxp-l4-0,128.232.119.192,10.82765531539917,1,32,64,64,0.12457321882247925,128,0.09484478180697188,08ac50f3
4,1.6834453344345093,0.30000001192092896,1.6360517740249634,0.3577629327774048,28938.0,0,144,1735399623,checkpoint_000000,True,True,1,2930bb38,2024-12-28_15-27-03,10.764601707458496,10.764601707458496,3286603,gxp-l4-0,128.232.119.192,10.764601707458496,1,32,32,64,0.14579543359577657,128,0.06279511519642547,2930bb38
5,2.3172593116760254,0.0,2.3009815216064453,0.10802469402551651,23258.0,0,287,1735399642,checkpoint_000000,True,True,1,28824f43,2024-12-28_15-27-22,11.790946245193481,11.790946245193481,3290059,gxp-l4-0,128.232.119.192,11.790946245193481,1,16,64,128,0.2688749395310879,64,0.049361667058337486,28824f43
6,0.6893742680549622,0.800000011920929,0.33355361223220825,0.9052212238311768,15866.0009765625,3,1148,1735399670,checkpoint_000003,True,False,4,b77cc6dd,2024-12-28_15-27-50,2.8743245601654053,20.013458251953125,3293595,gxp-l4-0,128.232.119.192,20.013458251953125,4,16,32,64,0.16691719945520161,64,0.007291840643063188,b77cc6dd
7,2.308472156524658,0.13333334028720856,2.2986769676208496,0.1281002163887024,36842.0,0,144,1735399690,checkpoint_000000,True,True,1,85a2339f,2024-12-28_15-28-10,10.867323637008667,10.867323637008667,3301108,gxp-l4-0,128.232.119.192,10.867323637008667,1,32,64,128,0.24302256498485802,128,0.08008809578232468,85a2339f
8,2.2044906616210938,0.10000000149011612,1.9511643648147583,0.20801183581352234,28938.0,0,287,1735399708,checkpoint_000000,True,True,1,b3abbb33,2024-12-28_15-28-29,11.529217720031738,11.529217720031738,3304613,gxp-l4-0,128.232.119.192,11.529217720031738,1,32,32,64,0.25362009946256875,64,0.08977285000588746,b3abbb33
9,0.6241831183433533,0.800000011920929,0.4698803126811981,0.875186026096344,23258.0,0,144,1735399726,checkpoint_000000,True,True,1,ce86c80d,2024-12-28_15-28-46,10.820100545883179,10.820100545883179,3308148,gxp-l4-0,128.232.119.192,10.820100545883179,1,16,64,128,0.1297514459118247,128,0.023267675730399787,ce86c80d
10,1.4391204118728638,0.5,1.1547560691833496,0.5579737424850464,15866.0009765625,0,144,1735399744,checkpoint_000000,True,True,1,9fe97e6e,2024-12-28_15-29-04,10.077151775360107,10.077151775360107,3311671,gxp-l4-0,128.232.119.192,10.077151775360107,1,16,32,64,0.23406802490353584,128,0.034074559677671645,9fe97e6e
11,1.3757742643356323,0.4000000059604645,1.3733376264572144,0.43023407459259033,36842.0,0,287,1735399770,checkpoint_000000,True,True,1,09df92a6,2024-12-28_15-29-30,19.257665157318115,19.257665157318115,3315045,gxp-l4-0,128.232.119.192,19.257665157318115,1,32,64,128,0.15717056728899478,64,0.05379888622639701,09df92a6
12,1.776393175125122,0.4333333373069763,1.737370491027832,0.5132688879966736,18618.0,0,144,1735399793,checkpoint_000000,True,True,1,8b0652a3,2024-12-28_15-29-53,16.95079207420349,16.95079207420349,3318635,gxp-l4-0,128.232.119.192,16.95079207420349,1,16,32,128,0.1,128,0.0001,8b0652a3
13,1.938805103302002,0.36666667461395264,1.77353036403656,0.533420205116272,18618.0,0,144,1735399818,checkpoint_000000,True,True,1,974d167d,2024-12-28_15-30-18,19.75004553794861,19.75004553794861,3322157,gxp-l4-0,128.232.119.192,19.75004553794861,1,16,32,128,0.11583722744519115,128,0.0001,974d167d
14,0.8974810242652893,0.699999988079071,0.33330073952674866,0.8934152722358704,18618.0,3,576,1735399847,checkpoint_000003,True,False,4,fb259446,2024-12-28_15-30-47,1.3650119304656982,23.38953685760498,3326552,gxp-l4-0,128.232.119.192,23.38953685760498,4,16,32,128,0.17641150804279387,128,0.006669712950489435,fb259446
