,ptl/train_loss,ptl/train_accuracy,ptl/val_loss,ptl/val_accuracy,ptl/model_params,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/layer_1_size,config/layer_2_size,config/layer_3_size,config/dropout,config/batch_size,config/learning_rate,logdir
0,0.22031477093696594,0.8999999761581421,0.2821201682090759,0.9268261790275574,31690.001953125,3,1148,1735435027,checkpoint_000003,True,False,4,8c989932,2024-12-29_01-17-07,2.1511521339416504,15.945611953735352,4164813,gxp-l4-0,128.232.119.192,15.945611953735352,4,32,32,128,0.20552215576171873,64,0.014974059253931046,8c989932
1,2.3152015209198,0.03333333507180214,2.3012354373931885,0.110491082072258,18458.0,0,144,1735435044,checkpoint_000000,True,True,1,699cf34f,2024-12-29_01-17-24,9.08483076095581,9.08483076095581,4172528,gxp-l4-0,128.232.119.192,9.08483076095581,1,16,64,64,0.1458963381126523,128,0.07663746377704665,699cf34f
2,2.013766288757324,0.23333333432674408,2.0539069175720215,0.187065988779068,18618.0,0,144,1735435059,checkpoint_000000,True,True,1,78be8599,2024-12-29_01-17-39,9.120826005935669,9.120826005935669,4176008,gxp-l4-0,128.232.119.192,9.120826005935669,1,16,32,128,0.29223781507462265,128,0.05744034780412913,78be8599
3,1.896850824356079,0.30000001192092896,1.567469835281372,0.3517232835292816,32042.0,0,287,1735435075,checkpoint_000000,True,True,1,adefc2c5,2024-12-29_01-17-55,10.490121603012085,10.490121603012085,4179563,gxp-l4-0,128.232.119.192,10.490121603012085,1,32,64,64,0.15917572006583214,64,0.04411795888813213,adefc2c5
4,0.2986387312412262,0.8999999761581421,0.18793556094169617,0.9479166865348816,28938.0,3,1148,1735435100,checkpoint_000003,True,False,4,8481e63a,2024-12-29_01-18-20,2.5274946689605713,17.82245135307312,4183095,gxp-l4-0,128.232.119.192,17.82245135307312,4,32,32,64,0.1850223748013377,64,0.006900608795601875,8481e63a
5,2.3079726696014404,0.06666667014360428,2.305039882659912,0.1174355298280716,23258.0,0,144,1735435120,checkpoint_000000,True,True,1,3b78ede0,2024-12-29_01-18-40,10.501560688018799,10.501560688018799,4190637,gxp-l4-0,128.232.119.192,10.501560688018799,1,16,64,128,0.2636564038693905,128,0.09505059988945723,3b78ede0
6,2.2950098514556885,0.1666666716337204,2.2999613285064697,0.108692966401577,15866.0009765625,0,144,1735435138,checkpoint_000000,True,True,1,a3c40f41,2024-12-29_01-18-58,11.01991605758667,11.01991605758667,4194180,gxp-l4-0,128.232.119.192,11.01991605758667,1,16,32,64,0.12330891378223896,128,0.06468531239209697,a3c40f41
7,1.689399003982544,0.46666666865348816,1.0826961994171143,0.5990869998931885,36842.0,0,287,1735435158,checkpoint_000000,True,True,1,f9c2c4ff,2024-12-29_01-19-18,12.188738346099854,12.188738346099854,3856,gxp-l4-0,128.232.119.192,12.188738346099854,1,32,64,128,0.22537559140473604,64,0.028094245960004628,f9c2c4ff
8,1.3246864080429077,0.5333333611488342,1.144484043121338,0.5839534401893616,28938.0,0,144,1735435177,checkpoint_000000,True,True,1,2f2bdbf2,2024-12-29_01-19-37,11.218816041946411,11.218816041946411,8183,gxp-l4-0,128.232.119.192,11.218816041946411,1,32,32,64,0.2621450986713171,128,0.0419048363795504,2f2bdbf2
9,1.843045949935913,0.20000000298023224,1.6008442640304565,0.38265174627304077,23258.0,0,287,1735435196,checkpoint_000000,True,True,1,4014c5c7,2024-12-29_01-19-56,11.994890213012695,11.994890213012695,11735,gxp-l4-0,128.232.119.192,11.994890213012695,1,16,64,128,0.18917688373476266,64,0.05360626658117399,4014c5c7
10,2.319159507751465,0.06666667014360428,2.033371925354004,0.20460392534732819,15866.0009765625,0,287,1735435217,checkpoint_000000,True,True,1,2ba49cf0,2024-12-29_01-20-17,12.409765243530273,12.409765243530273,15283,gxp-l4-0,128.232.119.192,12.409765243530273,1,16,32,64,0.24885950591415165,64,0.08743488490097225,2ba49cf0
11,0.5983375906944275,0.8333333134651184,0.5082985162734985,0.8614211678504944,36842.0,0,144,1735435283,checkpoint_000000,True,True,1,8ea4a540,2024-12-29_01-21-23,58.17714881896973,58.17714881896973,19515,gxp-l4-0,128.232.119.192,58.17714881896973,1,32,64,128,0.10245523303747178,128,0.024272088631335648,8ea4a540
12,1.2709345817565918,0.6333333253860474,1.090569019317627,0.6946374177932739,31690.001953125,0,287,1735435344,checkpoint_000000,True,True,1,028719eb,2024-12-29_01-22-24,55.29664134979248,55.29664134979248,24046,gxp-l4-0,128.232.119.192,55.29664134979248,1,32,32,128,0.3,64,0.0001,028719eb
13,0.22603709995746613,0.9333333373069763,0.14276178181171417,0.9564732909202576,31690.001953125,3,576,1735435378,checkpoint_000003,True,False,4,3355a60b,2024-12-29_01-22-58,1.4468209743499756,28.851405382156372,27792,gxp-l4-0,128.232.119.192,28.851405382156372,4,32,32,128,0.1,128,0.001339363909053532,3355a60b
14,0.47076430916786194,0.8999999761581421,0.1597665697336197,0.9505208730697632,28938.0,3,576,1735435425,checkpoint_000003,True,False,4,4a982dec,2024-12-29_01-23-45,1.456439733505249,38.98995041847229,35355,gxp-l4-0,128.232.119.192,38.98995041847229,4,32,32,64,0.1,128,0.013068329130374739,4a982dec
