,ptl/train_loss,ptl/train_accuracy,ptl/val_loss,ptl/val_accuracy,ptl/model_params,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/layer_1_size,config/layer_2_size,config/layer_3_size,config/dropout,config/batch_size,config/learning_rate,logdir
0,0.8138923048973083,0.7333333492279053,0.5624555349349976,0.8460648655891418,36842.0,7,2296,1736236744,checkpoint_000007,True,True,8,e0a80284,2025-01-07_07-59-04,2.3779122829437256,26.644832134246826,3705397,gxp-l4-0,128.232.119.192,26.644832134246826,8,32,64,128,0.2680945515632629,64,0.0187080005202569,e0a80284
1,0.7121705412864685,0.7333333492279053,0.5930583477020264,0.8338294625282288,15866.0009765625,1,288,1736236763,checkpoint_000001,True,True,2,11736ef6,2025-01-07_07-59-23,1.871497631072998,12.576855659484863,3719415,gxp-l4-0,128.232.119.192,12.576855659484863,2,16,32,64,0.12728909123688936,128,0.0002332884159852841,11736ef6
2,0.36027783155441284,0.8333333134651184,0.2597251236438751,0.92119300365448,23258.0,7,1152,1736236794,checkpoint_000007,True,True,8,a0d2969b,2025-01-07_07-59-54,1.6771390438079834,22.10645818710327,3724449,gxp-l4-0,128.232.119.192,22.10645818710327,8,16,64,128,0.2302184399217367,128,0.0006204006855557166,a0d2969b
3,0.3969930410385132,0.8999999761581421,0.16338619589805603,0.9480453133583069,28938.0,7,2296,1736236831,checkpoint_000007,True,True,8,966b2be8,2025-01-07_08-00-31,2.551162004470825,28.84237504005432,3738458,gxp-l4-0,128.232.119.192,28.84237504005432,8,32,32,64,0.16516978330910206,64,0.006940459326524853,966b2be8
4,2.3043975830078125,0.1666666716337204,2.306776762008667,0.11439044028520584,32042.0,1,574,1736236851,checkpoint_000001,True,True,2,30915c9e,2025-01-07_08-00-51,2.53462290763855,12.550061702728271,3753832,gxp-l4-0,128.232.119.192,12.550061702728271,2,32,64,64,0.18417439479380845,64,0.08716209012393715,30915c9e
5,0.8732916116714478,0.7666666507720947,0.58857661485672,0.8283730745315552,18618.0,1,288,1736236869,checkpoint_000001,True,True,2,59c052f2,2025-01-07_08-01-09,1.622267484664917,11.36301302909851,3758923,gxp-l4-0,128.232.119.192,11.36301302909851,2,16,32,128,0.22380804810673,128,0.00026724220543894656,59c052f2
6,0.6114007234573364,0.7333333492279053,0.21628345549106598,0.9369420409202576,18458.0,1,288,1736236887,checkpoint_000001,True,True,2,5bdae3d4,2025-01-07_08-01-27,1.662945032119751,10.886995792388916,3763959,gxp-l4-0,128.232.119.192,10.886995792388916,2,16,64,64,0.1204911146312952,128,0.002595307850767345,5bdae3d4
7,0.6438767313957214,0.7333333492279053,0.27860063314437866,0.9245756268501282,31690.001953125,1,574,1736236907,checkpoint_000001,True,True,2,4510973b,2025-01-07_08-01-47,2.465074062347412,12.856996059417725,3769063,gxp-l4-0,128.232.119.192,12.856996059417725,2,32,32,128,0.2874928545206785,64,0.008854901047973686,4510973b
8,0.20574873685836792,0.9333333373069763,0.20308203995227814,0.9311137199401855,32042.0,1,288,1736236924,checkpoint_000001,True,True,2,dd1c651f,2025-01-07_08-02-04,1.6850767135620117,11.205598592758179,3773828,gxp-l4-0,128.232.119.192,11.205598592758179,2,32,64,64,0.2023369362577796,128,0.00380299280864432,dd1c651f
9,0.4119929373264313,0.8333333134651184,0.291730672121048,0.9106224775314331,18618.0,1,574,1736236944,checkpoint_000001,True,True,2,b9ab91ba,2025-01-07_08-02-24,2.592423915863037,12.727734804153442,3779261,gxp-l4-0,128.232.119.192,12.727734804153442,2,16,32,128,0.19314856212586162,64,0.0010841447861874224,b9ab91ba
10,1.0329936742782593,0.5666666626930237,0.7789821028709412,0.799961507320404,18458.0,1,574,1736236964,checkpoint_000001,True,True,2,d4517746,2025-01-07_08-02-44,2.56512451171875,13.112449407577515,3784368,gxp-l4-0,128.232.119.192,13.112449407577515,2,16,64,64,0.29021309763193126,64,0.00011314118330267704,d4517746
11,0.6404634118080139,0.800000011920929,0.5654190182685852,0.8421379327774048,31690.001953125,1,288,1736236990,checkpoint_000001,True,True,2,4dfce44e,2025-01-07_08-03-10,1.6499204635620117,17.51249408721924,3789479,gxp-l4-0,128.232.119.192,17.51249408721924,2,32,32,128,0.1052678219974041,128,0.03595273907760622,4dfce44e
12,0.26148319244384766,0.9333333373069763,0.19331710040569305,0.9403935074806213,28938.0,1,574,1736237017,checkpoint_000001,True,True,2,eb637e54,2025-01-07_08-03-37,2.002934217453003,20.312232494354248,3794603,gxp-l4-0,128.232.119.192,20.312232494354248,2,32,32,64,0.1,64,0.0044077002229149535,eb637e54
13,0.3294740319252014,0.9333333373069763,0.10669993609189987,0.9687500596046448,28938.0,7,1152,1736237047,checkpoint_000007,True,True,8,58e484e9,2025-01-07_08-04-07,1.4309515953063965,25.15233612060547,3799595,gxp-l4-0,128.232.119.192,25.15233612060547,8,32,32,64,0.1,128,0.0064792191227193525,58e484e9
14,0.6626625061035156,0.8333333134651184,0.2869385778903961,0.9170525074005127,18458.0,1,574,1736237068,checkpoint_000001,True,True,2,8b6fbf46,2025-01-07_08-04-28,2.074878215789795,15.459866523742676,3813588,gxp-l4-0,128.232.119.192,15.459866523742676,2,16,64,64,0.27212781105407524,64,0.0014526197883914318,8b6fbf46
