loss,accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.3484677650034428,0.842,1734200466,,False,1,aaa913e7,2024-12-14_18-21-06,0.5520341396331787,0.5520341396331787,95767,UNKNOWN,127.0.0.1,0.5520341396331787,1
0.08368945822119712,0.97,1734200466,,False,2,aaa913e7,2024-12-14_18-21-06,0.017353057861328125,0.5693871974945068,95767,UNKNOWN,127.0.0.1,0.5693871974945068,2
0.04262383084138855,0.99,1734200466,,False,3,aaa913e7,2024-12-14_18-21-06,0.01592397689819336,0.5853111743927002,95767,UNKNOWN,127.0.0.1,0.5853111743927002,3
0.04105237980990205,0.983,1734200466,,True,4,aaa913e7,2024-12-14_18-21-06,0.016593217849731445,0.6019043922424316,95767,UNKNOWN,127.0.0.1,0.6019043922424316,4
